,4G_RRC_SETUP_FAILURES_OVERALL,4G_4G2G_CSFB_ATT,4G_4G2G_CSFB_SHARE,4G_4G2G_OUT_HO_ATT_SRVCC,4G_4G2G_OUT_HO_FAILURES_SRVCC,4G_4G2G_OUT_HO_SUCC_RATE_SRVCC,4G_4G2G_OUT_HO_SUCC_SRVCC,4G_4G2G_SRVCC_SHARE,4G_4G3G_CSFB_ATT,4G_4G3G_CSFB_SHARE,4G_4G3G_OUT_HO_ATT_SRVCC,4G_4G3G_OUT_HO_FAILURES_SRVCC,4G_4G3G_OUT_HO_SUCC_RATE_SRVCC,4G_4G3G_OUT_HO_SUCC_SRVCC,4G_4G3G_SRVCC_SHARE,4G_4G4G_OUT_HO_ATT_OVERALL,4G_4G4G_OUT_HO_ATT_VOICE,4G_4G4G_OUT_HO_FAILURES_OVERALL,4G_4G4G_OUT_HO_FAILURES_VOICE,4G_4G4G_OUT_HO_SUCC_OVERALL,4G_4G4G_OUT_HO_SUCC_RATE_OVERALL,4G_4G4G_OUT_HO_SUCC_RATE_VOICE,LTE_Avg_Cell_Throughput_DL_Mbps_LTE_1,LTE_Avg_Cell_Throughput_UL_Mbps_LTE_1,LTE_ERAB_Accessibility_Ratio_LTE_1,LTE_ERAB_Drop_per_GByte_LTE_1,LTE_ERAB_Drop_Ratio_LTE_1,LTE_Nbr_of_Cells_LTE_1,LTE_Traffic_Volume_DL_GBytes_LTE_1,LTE_Traffic_Volume_UL_GBytes_LTE_1,4G_Cell_Availability,4G_TRAFFIC_VOLUME_DL_OVERALL,4G_TRAFFIC_VOLUME_OVERALL,4G_TRAFFIC_VOLUME_UL_OVERALL,4G_HO_SRVCC_SUCCESSES,4G_BPCR_OVERALL_RRC_SUCC_MV_LN,4G_BPCR_OVERALL_RRC_ATT_MV_LN,4G_BPCR_OVERALL_eRAB_SUCC_MV_LN,4G_BPCR_OVERALL_eRAB_ATT_MV_LN,4G_Active_Users_Avg_BH_GL,4G_DL_PRB_Utilisation_GL,4G_AVERAGE_ACTIVE_USERS,4G_OUT_HO_ATT_SRVCC_OVERALL,4G_OUT_HO_SRVCC_FAILURES_OVERALL,4G_OUT_HO_SUCC_RATE_SRVCC_OVERALL,4G_OUT_HO_SUCC_SRVCC_OVERALL,4G_BPCR_DATA,4G_BPCR_VOICE,4G_DPCR_DATA,4G_DPCR_VOICE,4G_TRAFFIC_VOLUME_DL_DATA_NOK,4G_TRAFFIC_VOLUME_UL_DATA_NOK,4G_TRAFFIC_VOLUME_VOICE_NOK,4G_DL_MAX_THROUGHPUT_NOK,4G_UL_MAX_THROUGHPUT_NOK,4G_HO_ATTEMPTS,4G_HO_ATTEMPTS_NOK,4G_HO_FAILURES,4G_HO_SRVCC_ATTEMPTS,4G_HO_SRVCC_ATTEMPTS_NOK,4G_RRC_SETUP_ATTEMPTS_OVERALL,4G_RRC_SETUP_SUCCESSES_OVERALL,4G_ERAB_DROPS_DATA,4G_ERAB_DROPS_VOICE,4G_ERAB_SEIZURES_DATA,4G_ERAB_SEIZURES_VOICE,4G_ERAB_SETUP_ATTEMPTS_DATA,4G_ERAB_SETUP_ATTEMPTS_VOICE,4G_ERAB_SETUP_SUCCESSES_DATA,4G_ERAB_SETUP_SUCCESSES_VOICE,4G_BPCR_OVERALL_NOK,4G_BROADBAND_ACTIVE_USERS_Hour_new,4G_CELL_AVAILABLE_SECONDS,4G_CELL_PLANNED_AVAILABLE_SECONDS,4G_CELL_UNAVAILABLE_SECONDS,4G_DPCR_OVERALL,4G_ERAB_DROPS_OVERALL,4G_ERAB_SEIZURES_OVERALL,4G_ERAB_SETUP_ATTEMPTS_OVERALL,4G_ERAB_SETUP_FAILURES_DATA,4G_ERAB_SETUP_FAILURES_OVERALL,4G_ERAB_SETUP_FAILURES_VOICE,4G_ERAB_SETUP_SUCCESS_RATE_DATA,4G_ERAB_SETUP_SUCCESS_RATE_OVERALL,4G_ERAB_SETUP_SUCCESS_RATE_VOICE,4G_ERAB_SETUP_SUCCESSES_OVERALL,4G_IMS_SIG_ATTEMPTS,4G_IMS_SIG_FAILURES,4G_IMS_SIG_SUCCESS_RATE,4G_IMS_SIG_SUCCESSES,4G_MIMO_SPATIAL_MUX_SHARE,4G_RRC_SETUP_SUCCESS_RATE_OVERALL,4G_S1_SETUP_ATTEMPTS_OVERALL,4G_S1_SETUP_FAILURES_OVERALL,4G_S1_SETUP_SUCC_RATE_OVERALL,4G_S1_SETUP_SUCCESSES_OVERALL,NE_STATE,eCell.OMC_Name,OMC_NAME
101320030L2,2,0,0.00%,0,0,0,0,0.00%,1,100.00%,1,0,100.00%,1,100.00%,65,2,2,0,63,96.92%,100.00%,0.488 Mbps,0.057 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.1473 GBytes,0.0167 GBytes,100.00%,0,0.15,0,1,779,781,809,809,0,7.50%,4,1,0,100.00%,1,0.26%,0.26%,0.19%,0.00%,0.14,0.02,0.02 E,14.4,1.8,65,65,2,1,1,781,779,2,0,1049,1,474,1,474,1,0.26%,0,3600,3600,0,0.19%,2,1050,809,0,0,0,100.00%,100.00%,100.00%,809,334,0,100.00%,334,15.64%,99.74%,779,0,100.00%,779,Active,0,nokiaLTENordOst1
101320030L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,4,1,0,78,98.73%,100.00%,0.540 Mbps,0.066 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.1618 GBytes,0.0182 GBytes,100.00%,0,0.17,0,0,105,105,130,130,0,5.80%,2,0,0,0,0,0.00%,0.00%,1.41%,0.00%,0.15,0.02,0.01 E,12.9,1,79,79,1,0,0,105,105,4,0,283,1,68,1,68,1,0.00%,0,3600,3600,0,1.41%,4,284,130,0,0,0,100.00%,100.00%,100.00%,130,61,0,100.00%,61,8.42%,100.00%,105,0,100.00%,105,Active,0,nokiaLTENordOst1
101320030M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,100.00%,0,1.827 Mbps,0.079 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.6238 GBytes,0.0256 GBytes,100.00%,1,0.61,0,0,227,227,367,367,0,8.00%,3,0,0,0,0,0.00%,0,0.00%,0.00%,0.58,0.03,0.00 E,35.8,6,27,27,0,0,0,227,227,0,0,417,1,233,0,233,0,0.00%,0,3600,3600,0,0.00%,0,418,367,0,0,0,100.00%,100.00%,0,367,134,0,100.00%,134,15.72%,100.00%,227,0,100.00%,227,Active,0,nokiaLTENordOst1
101320030M2,0,0,0,1,1,0.00%,0,100.00%,0,0,0,0,0,0,0.00%,122,4,0,0,122,100.00%,100.00%,0.948 Mbps,0.061 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.3661 GBytes,0.0232 GBytes,100.00%,0,0.36,0,0,1451,1451,1981,1981,0,4.40%,8,1,1,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.34,0.02,0.02 E,50.2,19.8,122,122,0,1,1,1451,1451,0,0,2178,5,1113,5,1113,5,0.00%,0,3600,3600,0,0.00%,0,2183,1981,0,0,0,100.00%,100.00%,100.00%,1981,863,0,100.00%,863,12.39%,100.00%,1451,0,100.00%,1451,Active,0,nokiaLTENordOst1
101320030M3,3,0,0.00%,0,0,0,0,0,1,100.00%,0,0,0,0,0,55,0,0,0,55,100.00%,0,0.605 Mbps,0.031 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.1287 GBytes,0.0062 GBytes,100.00%,0,0.13,0,0,419,422,407,407,0,2.70%,3,0,0,0,0,0.71%,0,0.00%,0,0.12,0.01,0.00 E,23.7,1.1,55,55,0,0,0,422,419,0,0,518,0,311,0,311,0,0.71%,0,3600,3600,0,0.00%,0,518,407,0,0,0,100.00%,100.00%,0,407,96,0,100.00%,96,19.59%,99.29%,419,0,100.00%,419,Active,0,nokiaLTENordOst1
101320031H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,49,100.00%,100.00%,11.956 Mbps,0.640 Mbps,0,0.00 Drop/Gbyte,0.00%,1,5.3795 GBytes,0.2685 GBytes,100.00%,5,5.28,0,0,1901,1901,3085,3085,0,25.00%,21,0,0,0,0,0.00%,0.00%,0.00%,0.00%,5.01,0.27,1.32 E,112.7,8.9,49,49,0,0,0,1901,1901,0,0,3148,11,1716,9,1716,9,0.00%,0,3600,3600,0,0.00%,0,3159,3085,0,0,0,100.00%,100.00%,100.00%,3085,1360,0,100.00%,1360,44.53%,100.00%,1901,0,100.00%,1901,Active,0,nokiaLTENordOst1
101320031H2,1,0,0.00%,0,0,0,0,0,3,100.00%,0,0,0,0,0,169,1,0,0,169,100.00%,100.00%,29.010 Mbps,1.507 Mbps,0,0.00 Drop/Gbyte,0.00%,1,13.0522 GBytes,0.6317 GBytes,100.00%,12,12.79,1,0,6067,6068,9319,9327,0,46.40%,46,0,0,0,0,0.09%,0.02%,0.02%,0.00%,12.16,0.63,1.59 E,120.5,19.3,169,169,0,0,0,6068,6067,2,0,9395,15,5154,16,5150,16,0.10%,0,3600,3600,0,0.02%,2,9410,9327,4,8,0,99.92%,99.91%,100.00%,9319,4157,4,99.90%,4153,71.22%,99.98%,6067,0,100.00%,6067,Active,0,nokiaLTENordOst1
101320031H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,0,0,100,100.00%,100.00%,2.674 Mbps,0.125 Mbps,0,0.00 Drop/Gbyte,0.00%,1,1.1964 GBytes,0.0525 GBytes,100.00%,1,1.17,0,0,2334,2334,3381,3382,0,11.90%,19,0,0,0,0,0.00%,0.00%,0.00%,0.00%,1.11,0.05,0.58 E,55,4.1,100,100,0,0,0,2334,2334,0,0,3440,6,1978,7,1978,7,0.03%,0,3600,3600,0,0.00%,0,3446,3382,0,1,0,100.00%,99.97%,100.00%,3381,1397,1,99.93%,1396,40.93%,100.00%,2334,0,100.00%,2334,Active,0,nokiaLTENordOst1
101320031L1,1,0,0.00%,1,0,100.00%,1,100.00%,2,100.00%,0,0,0,0,0.00%,115,9,0,0,115,100.00%,100.00%,8.759 Mbps,0.338 Mbps,0,0.00 Drop/Gbyte,0.00%,1,3.9409 GBytes,0.1420 GBytes,100.00%,4,3.81,0,1,3256,3257,5107,5107,0,61.20%,28,1,0,100.00%,1,0.03%,0.03%,0.02%,0.00%,3.67,0.14,2.51 E,38.7,10.6,115,115,0,1,1,3257,3256,1,0,5436,13,2706,7,2706,7,0.03%,0,3600,3600,0,0.02%,1,5449,5107,0,0,0,100.00%,100.00%,100.00%,5107,2394,0,100.00%,2394,38.66%,99.97%,3256,0,100.00%,3256,Active,0,nokiaLTENordOst1
101320031L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disabled,0,nokiaLTENordOst1
